progress,duration_in_seconds,finished,ic,ViS01,ViS02,ViS03,ViS04,ViS05,ViS06,ViS07,ViS08,ViS09,ViS10,ViS11,ViS12,ViS13,ViS14,ViS15,ViS16,ViS17,ViS18,ViS19,ViS20,ViS21,ViS22,ViS23,ViS24,ViS25,ViS26,ViS27,ViS28,ViS29,ViS30,ViS31,ViS32,ViS33,ViS34,ViS35,ViS36,SRS01,SRS02,SRS03,SRS04,SRS05,SRS06,SRS07,SRS08,SRS09,SRS10,SRS11,age,gender_identity,gender_lived,race_ethnicity,religious_affil,religious_serv,political_ideology,political_affiliation,education,sci_values,conclusion,pid,SRS_sum,disclosure,gender,pref,part_values,shared_values,METI01,METI02,METI03,METI04,METI05,METI06,METI07,METI08,METI09,METI10,METI11,METI12,METI13,METI14,meti_mean,meti_competence,meti_integrity,meti_benevolence
100,527,1,1,4,5,1,2,4,2,2,2,1,4,2,5,1,2,4,4,3,5,2,2,2,1,2,2,4,5,3,4,4,5,1,5,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,28,Woman/Female,Woman/Female,5,7,1,1,3,3,economic growth,causes harm,ca646e07834aa3c54b155bef28829d15358b7c548549dc8fe4b75b30,1,TRUE,Woman/Female.Woman/Female,4,public health,FALSE,6,6,6,6,6,6,5,6,5,6,5,5,5,5,5.571428571428571,6,5.5,5
100,284,1,1,5,3,4,3,4,5,4,3,5,4,4,5,5,4,4,4,4,5,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,1,0,1,0,0,0,1,0,0,0,0,32,Man/Male,Man/Male,5,2,5,1,1,3,economic growth,does not cause harm,58ed3f471d184d753181af6ab8ec62a0a509d1398fe757ee04cd0ad0,0.2727272727272727,TRUE,Man/Male.Man/Male,NA,NA,NA,5,2,2,3,2,1,4,4,6,3,3,4,2,4,3.2142857142857144,2.5,4.25,3.25
100,511,1,1,4,4,2,4,5,4,2,2,2,4,2,3,2,2,2,4,2,4,2,4,5,2,2,2,4,4,4,4,4,5,4,4,1,2,4,5,0,0,1,0,0,1,1,1,0,0,0,23,Man/Male,Man/Male,2,7,1,2,1,3,economic growth,causes harm,58f17f0c6949a45a5bb4f91f6da05c1693f9a3dc7eebee2fbb8f9a2c,0.36363636363636365,TRUE,Man/Male.Man/Male,4,public health,FALSE,6,5,5,5,5,5,5,6,5,5,5,6,6,3,5.142857142857143,5.166666666666667,5.25,5
100,712,1,1,3,4,3,3,5,1,3,2,2,3,2,4,1,1,4,3,4,2,2,5,3,1,1,2,5,5,2,4,2,4,2,4,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,46,Man/Male,Man/Male,5,7,1,3,1,3,public health,causes harm,a34e298bf5a5732238ff834782f8f9cec50ee956a02a8fa50ec5325b,1,FALSE,Man/Male.Man/Male,NA,NA,NA,6,6,7,6,7,7,6,4,4,4,4,4,6,4,5.357142857142857,6.5,4.5,4.5
100,1027,1,1,1,4,5,1,4,5,5,1,1,3,1,5,1,4,5,5,1,4,4,5,5,1,5,4,4,5,4,5,5,2,5,1,1,5,4,5,1,0,0,0,1,0,1,1,0,0,0,38,Woman/Female,Woman/Female,5,2,2,6,1,3,public health,causes harm,4d8bf749e597869059fd97243e3f82e09ff3583e95ea96383b741b07,0.36363636363636365,TRUE,Woman/Female.Woman/Female,NA,NA,NA,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6.857142857142857,6.666666666666667,7,7
100,1467,1,1,4,2,4,3,4,4,4,2,1,4,2,5,2,4,1,4,3,2,4,2,2,2,4,4,4,5,4,2,4,3,5,5,1,2,1,5,1,1,1,1,1,1,1,1,0,1,1,24,Man/Male,Man/Male,5,7,1,3,3,2,economic growth,does not cause harm,76b74608250aea8799fde6527273a10aed43f924f4355b76c2d352ab,0.9090909090909091,FALSE,Man/Male.Man/Male,NA,NA,NA,6,6,6,6,6,6,5,6,5,5,5,6,6,6,5.714285714285714,6,5.25,5.75
100,2093,1,1,5,5,5,3,5,4,2,2,1,2,1,4,2,2,4,3,3,2,3,4,2,2,4,3,4,5,2,3,5,1,4,5,1,4,4,5,0,0,1,1,0,1,0,1,0,1,0,71,Man/Male,Man/Male,5,8,1,NA,3,2,economic growth,does not cause harm,4c4f2a0a7b1a34846bfbad85b1667780a0d90801daf779c42bc04c01,0.45454545454545453,TRUE,Man/Male.Man/Male,4,public health,FALSE,2,6,4,4,6,1,2,3,3,2,2,1,1,1,2.7142857142857144,3.8333333333333335,2.5,1.25
100,552,1,1,4,4,4,4,4,2,2,2,2,4,3,2,1,2,2,1,2,4,2,4,2,2,4,5,4,5,2,4,4,4,2,5,2,4,2,2,1,0,1,1,1,1,0,0,0,0,0,41,Woman/Female,Woman/Female,5,7,1,2,1,3,public health,does not cause harm,ca9a3b7c7c3e83b720490a85e15d37fc95d0d0de57448006d68e1438,0.45454545454545453,TRUE,Woman/Female.Woman/Female,NA,NA,NA,5,7,6,5,6,5,5,2,2,2,3,2,2,2,3.857142857142857,5.666666666666667,2.75,2.25
100,907,1,1,4,5,4,2,2,2,4,1,3,4,2,4,2,2,4,4,2,4,2,4,4,2,4,2,5,5,4,4,4,5,5,4,2,3,2,4,1,0,1,1,1,1,1,1,1,1,1,19,Woman/Female,Woman/Female,5,7,2,2,3,2,public health,does not cause harm,614acd5ef4fab385bc58127b0d1264d9671c06df43b8a6d5024683b1,0.9090909090909091,TRUE,Woman/Female.Woman/Female,NA,NA,NA,5,5,5,3,5,4,2,2,3,4,3,3,3,3,3.5714285714285716,4.5,2.75,3
100,741,1,1,4,4,1,3,3,2,4,1,2,4,2,4,2,1,4,4,4,2,2,4,2,2,3,3,5,5,2,2,4,4,2,4,1,4,2,5,1,1,1,1,1,1,1,1,1,0,1,57,Woman/Female,Woman/Female,5,7,1,3,1,3,public health,does not cause harm,a5c007c5031664abbeb3362a654465320bfa1ea82a4272483b54fead,0.9090909090909091,FALSE,Woman/Female.Woman/Female,4,public health,TRUE,2,4,2,3,3,2,4,4,4,4,2,2,1,4,2.9285714285714284,2.6666666666666665,4,2.25
