ourid,sci_values,conclusion,disclosure,pa_1,pa_2,pa_3,pa_4,pa_5,pa_6,pa_7,pa_mean,tradeoff,age,sex,ideology,educatio,part_values,shared_values
1,public health,does not cause harm,TRUE,2,3,6,1,2,1,1,2.28571428571427,2,7,0,2,3,economic growth,FALSE
2,public health,causes harm,TRUE,5,5,5,6,6,6,4.91,5.41571428571427,2,1,0,5,1,economic growth,FALSE
3,economic growth,causes harm,TRUE,7,7,7,7,7,7,7,7,2,5,0,7,1,economic growth,TRUE
4,economic growth,causes harm,TRUE,4,4,4,4,4,4,4,4,2,6,1,7,1,economic growth,TRUE
5,economic growth,does not cause harm,TRUE,4,4,5,4,4,4,4,4.14285714285714,3,3,1,4,2,public health,FALSE
7,economic growth,causes harm,TRUE,5,5,5,5,4,4,4,4.57142857142859,2,3,1,2,2,economic growth,TRUE
8,public health,causes harm,TRUE,7,7,6,5,7,7,6,6.42857142857141,1,9,0,2,1,economic growth,FALSE
9,economic growth,does not cause harm,TRUE,5,5,6,3,3,4,3,4.14285714285714,4,6,0,6,2,public health,FALSE
10,public health,does not cause harm,FALSE,4,5,5,4,5,3,4,4.28571428571427,3,2,1,5,1,public health,TRUE
11,economic growth,does not cause harm,FALSE,4,4,5,4,4,5,4,4.28571428571427,4,5,1,6,3,public health,FALSE
12,public health,does not cause harm,TRUE,2,2,4,2,2,5,2,2.71428571428573,3,10,1,3,4,public health,TRUE
13,economic growth,does not cause harm,TRUE,4,5,5,3,4,3,4,4,2,2,0,3,1,economic growth,TRUE
15,economic growth,causes harm,TRUE,7,5,5,7,7,6,6,6.14285714285714,4,5,0,4,2,public health,FALSE
16,economic growth,causes harm,TRUE,5,4,4,4,4,3,4,4,4,3,1,6,3,public health,FALSE
17,economic growth,does not cause harm,TRUE,3,3,2,1,1,1,2,1.85714285714286,4,4,0,5,3,public health,FALSE
18,public health,does not cause harm,TRUE,6,6,6,5,5,6,6,5.71428571428573,4,2,0,6,3,public health,TRUE
19,economic growth,does not cause harm,TRUE,5,6,7,6,7,6,4,5.85714285714286,1,2,1,3,3,economic growth,TRUE
20,economic growth,does not cause harm,FALSE,7,7,7,7,7,7,7,7,2,5,0,2,4,economic growth,TRUE
21,public health,does not cause harm,FALSE,3,4,5,2,2,2,2,2.85714285714286,4,6,0,4,3,public health,TRUE
